Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,147.9,-107.9,180,top
C2,1uF,C_0603_1608Metric,154.1,-116.65,-90,top
C3,100nF,C_0402_1005Metric,148,-114.5,0,top
C4,1uF,C_0603_1608Metric,148.1,-116.65,90,top
C5,100nF,C_0402_1005Metric,124.100076,-110.37493,90,top
C6,100nF,C_0402_1005Metric,149.9,-107.9,0,top
C7,1uF,C_0603_1608Metric,128.55,-112.45,90,top
C8,100nF,C_0402_1005Metric,130.4,-112.05,-45,top
C9,100nF,C_0402_1005Metric,131.15,-110.55,45,top
C10,15pF,C_0402_1005Metric,126.7,-111.6,0,top
C11,15pF,C_0402_1005Metric,130.6,-108.4,-90,top
C12,15pF,C_0402_1005Metric,144.05,-109.8,0,top
C13,15pF,C_0402_1005Metric,142.15,-108.1,90,top
D1,GREEN,LED_0805_2012Metric,145.15,-115.1,180,top
D2,RED,LED_0805_2012Metric,128.775,-116.225,180,top
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,114.6,-109.15,0,top
R1,1k,R_0603_1608Metric,145.15,-117.1,180,top
R2,27,R_0805_2012Metric,153.05,-110.45,180,top
R3,27,R_0805_2012Metric,153.05,-112.75,180,top
R4,1k,R_0603_1608Metric,128.775,-118.325,180,top
R5,1K,R_0603_1608Metric,124.5,-116.4,90,top
SW1,RESET,SW-SMD_4P-L4.2-W3.2-P2.20-LS4.6,120.6,-109.8,0,top
SW2,USER,SW-SMD_4P-L4.2-W3.2-P2.20-LS4.6,120.6,-116.2,180,top
U1,USB_B_Micro,MICRO-USB-SMD_MICRO-7.2JB,157.75,-113,90,top
U2,TPMIC5504,SOT-23-5,151.1,-116.7,180,top
U3,FT230XQ,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,148.3,-111.1,90,top
U4,STM8L151K6T6,LQFP-32_7x7mm_P0.8mm,137,-113,-45,top
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,127.9,-109.2,0,top
Y2,32K768Hz,Crystal_SMD_2012-2Pin_2.0x1.2mm,144.05,-108.3,180,top
